country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
United States,30.774539216825943,3.216718429660993e-08,3.814150770733485e-05,2.930138060473014e-06,3.814150770733485e-05,2.6318605333589946e-08,3.814150770733485e-05,1.892015294536966e-06,1.7691951363135463e-06,3.814150770733485e-05,3.814150770733485e-05,3.814150770733485e-05,3.814150770733485e-05,93645.0,212750006.0,2617.2390859514444
Russia,17.019448612141233,7.101223128163919e-09,3.047844966607954e-05,3.955381282387303e-06,3.047844966607954e-05,0.0,3.047844966607954e-05,1.0012724610711126e-06,1.3492323943511446e-07,3.047844966607954e-05,3.047844966607954e-05,3.047844966607954e-05,3.047844966607954e-05,30825.0,332000023.0,894.7541141486538
China,22.017103680281995,2.1200765103670105e-09,2.3384443909348125e-06,1.9858049980437666e-07,2.3384443909348125e-06,2.8267686804893473e-09,2.3384443909348125e-06,7.914952305370172e-08,7.066921701223368e-09,2.3384443909348125e-06,2.3384443909348125e-06,2.3384443909348125e-06,2.3384443909348125e-06,23634.0,254500001.0,188.5808055971456
India,11.488416411573176,1.4193171794633261e-09,1.5818289965118768e-06,5.677268717853304e-08,1.5818289965118768e-06,0.0,1.5818289965118768e-06,5.251473564014306e-08,4.257951538389978e-09,1.5818289965118768e-06,1.5818289965118768e-06,1.5818289965118768e-06,1.5818289965118768e-06,15783.0,261055002.0,53.224394229874726
South Korea,5.579744658880872,0.0,3.0567299901309096e-05,2.1312627443751943e-06,3.0567299901309096e-05,3.840113052928278e-08,3.0567299901309096e-05,6.9122034952709e-07,7.680226105856556e-08,3.0567299901309096e-05,3.0567299901309096e-05,3.0567299901309096e-05,3.0567299901309096e-05,11319.0,370000072.0,888.9861717528964
United Kingdom,3.244165554002175,2.921454248507312e-08,9.217188154040569e-06,5.404690359738528e-07,9.217188154040569e-06,0.0,9.217188154040569e-06,4.090035947910237e-07,1.3146544118282905e-07,9.217188154040569e-06,9.217188154040569e-06,9.217188154040569e-06,9.217188154040569e-06,4502.0,110886016.0,1044.427781767835
Japan,6.100543441175683,0.0,1.1712477333758998e-05,9.658938341769374e-07,1.1712477333758998e-05,3.2467019636199576e-08,1.1712477333758998e-05,1.1444624421760352e-06,8.116754909049894e-08,1.1712477333758998e-05,1.1712477333758998e-05,1.1712477333758998e-05,1.1712477333758998e-05,10399.0,30315002.0,462.655029815844
Turkiye,3.681071540321803,0.0,1.2874536677165537e-05,1.3195508505682128e-06,1.2874536677165537e-05,1.188784550061453e-08,1.2874536677165537e-05,3.3285967401720685e-07,8.321491850430171e-08,1.2874536677165537e-05,1.2874536677165537e-05,1.2874536677165537e-05,1.2874536677165537e-05,7741.0,73390009.0,558.7287385288829
Pakistan,3.679622867295147,0.0,5.543589310108513e-06,2.2586461091936043e-07,5.543589310108513e-06,0.0,5.543589310108513e-06,1.0698849990917073e-07,1.585014813469196e-08,5.543589310108513e-06,5.543589310108513e-06,5.543589310108513e-06,5.543589310108513e-06,9889.0,120400005.0,30.273782937261643
Italy,2.868775319091515,3.28057447845591e-08,1.1957693973971792e-05,6.069062785143433e-07,1.1957693973971792e-05,0.0,1.1957693973971792e-05,3.772660650224296e-07,1.312229791382364e-07,1.1957693973971792e-05,1.1957693973971792e-05,1.1957693973971792e-05,1.1957693973971792e-05,5181.0,18400003.0,506.68472819751526
France,3.936335024858634,1.4625315789818533e-08,1.427430821086289e-05,9.945214737076603e-07,1.427430821086289e-05,4.38759473694556e-08,1.427430821086289e-05,6.435138947520155e-07,2.3400505263709653e-07,1.427430821086289e-05,1.427430821086289e-05,1.427430821086289e-05,1.427430821086289e-05,6973.0,22600003.0,804.3923684400194
Egypt,3.487586733820346,0.0,9.824962053668402e-06,8.988986325405673e-07,9.824962053668402e-06,1.7977972650811348e-08,9.824962053668402e-06,9.887884957946242e-08,0.0,9.824962053668402e-06,9.824962053668402e-06,9.824962053668402e-06,9.824962053668402e-06,7772.0,92000008.0,52.85074510022266
Brazil,5.012397957931512,0.0,2.3312723144057637e-06,0.0,2.3312723144057637e-06,4.544390476424491e-09,2.3312723144057637e-06,1.1360976191061226e-07,0.0,2.3312723144057637e-06,2.3312723144057637e-06,2.3312723144057637e-06,2.3312723144057637e-06,3621.0,70000004.0,118.86898500897833
Indonesia,5.04286368553065,0.0,1.6301888760982793e-06,5.327414627772155e-08,1.6301888760982793e-06,0.0,1.6301888760982793e-06,6.037736578141775e-08,3.5516097518481033e-09,1.6301888760982793e-06,1.6301888760982793e-06,1.6301888760982793e-06,1.6301888760982793e-06,3250.0,80000002.0,37.647063369589894
Germany,2.935491327413319,0.0,6.942537343569566e-06,6.419469461519804e-07,6.942537343569566e-06,0.0,6.942537343569566e-06,3.0908556666576835e-07,3.5663719230665575e-08,6.942537343569566e-06,6.942537343569566e-06,6.942537343569566e-06,6.942537343569566e-06,4177.0,21560002.0,594.3953205110929
Australia,2.654377244485374,0.0,1.2215805541410666e-05,8.218584767921549e-07,1.2215805541410666e-05,7.471440698110498e-08,1.2215805541410666e-05,1.1207161047165747e-06,2.2414322094331497e-07,1.2215805541410666e-05,1.2215805541410666e-05,1.2215805541410666e-05,1.2215805541410666e-05,2355.0,8940003.0,2080.796234423774
Israel,1.2250225032537363,0.0,6.498190184903822e-05,5.104961192723133e-06,6.498190184903822e-05,0.0,6.498190184903822e-05,2.020713805452907e-06,1.4889470145442472e-06,6.498190184903822e-05,6.498190184903822e-05,6.498190184903822e-05,6.498190184903822e-05,4363.0,63500067.0,3243.777424542824
Ukraine,1.9459995855763146,0.0,9.085344954424236e-06,1.0936063371066211e-06,9.085344954424236e-06,0.0,9.085344954424236e-06,8.412356439281701e-08,0.0,9.085344954424236e-06,9.085344954424236e-06,9.085344954424236e-06,9.085344954424236e-06,2310.0,210000059.0,1505.8118026314244
Iran,3.904597367053497,0.0,6.233952804202811e-06,1.4708055617901369e-07,6.233952804202811e-06,0.0,6.233952804202811e-06,1.1313888936847208e-07,6.788333362108325e-08,6.233952804202811e-06,6.233952804202811e-06,6.233952804202811e-06,6.233952804202811e-06,3911.0,96000011.0,174.79958407428936
Spain,2.0135417586566677,2.1150398069527027e-08,9.750333510051959e-06,3.5955676718195946e-07,9.750333510051959e-06,0.0,9.750333510051959e-06,1.6920318455621622e-07,0.0,9.750333510051959e-06,9.750333510051959e-06,9.750333510051959e-06,9.750333510051959e-06,3255.0,14843203.0,494.85586363272387
Poland,2.0339810086089574,0.0,1.236246722946089e-05,7.484583500091144e-07,1.236246722946089e-05,0.0,1.236246722946089e-05,2.838979948310434e-07,0.0,1.236246722946089e-05,1.236246722946089e-05,1.236246722946089e-05,1.236246722946089e-05,3394.0,55210014.0,1256.8938498428922
Saudi Arabia,3.844664952753601,0.0,2.5092741898410134e-05,9.303742906716953e-07,2.5092741898410134e-05,0.0,2.5092741898410134e-05,4.378231956102095e-07,6.020068939640381e-07,2.5092741898410134e-05,2.5092741898410134e-05,2.5092741898410134e-05,2.5092741898410134e-05,6491.0,25700007.0,2045.728881488704
Taiwan,2.7245720089141345,0.0,3.2252219988959655e-05,3.856704361360484e-06,3.2252219988959655e-05,0.0,3.2252219988959655e-05,7.628645989504254e-07,0.0,3.2252219988959655e-05,3.2252219988959655e-05,3.2252219988959655e-05,3.2252219988959655e-05,5440.0,252500107.0,836.6081768489665
Vietnam,3.303767248757707,0.0,2.3260437014821323e-06,0.0,2.3260437014821323e-06,0.0,2.3260437014821323e-06,2.836638660344064e-08,0.0,2.3260437014821323e-06,2.3260437014821323e-06,2.3260437014821323e-06,2.3260437014821323e-06,1734.0,560000053.0,81.26024215665628
