Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
United States,132800004,11,15873,13043,13043,1002,150463900440,19924,26,895000000000,81,22303546100000,13043,124816644365,773426000000,0,9,13043,170549000,9833517,3533,8,1029000000000,20245000,20879000,666,38212000000,24662000000000,293564,79950002,6586610,13043,671,12002,647,70,605,13043,13043,440,341963408,1212,13043,13043,41009
Russia,132000009,1,904,4292,4292,557,69002197490,37653,83,126000000000,10,317650500000,4292,46189226328,597217000000,12,0,4292,72408000,17098242,2910,47,617830000000,3684000,10727000,67,80000000000,5816000000000,85494,200000014,1283387,4292,5168,22407,141,63,19,4292,4292,419,140820810,8505,4292,4292,102000
China,203500001,3,531,3309,3309,281,764123366540,14500,72,266850000000,50,1218458500000,3309,626864169443,3450000000000,47,4,3309,779246000,9596960,8314,36,225341000000,15148000,4984000,66,26023000000,31227000000000,150000,51000000,5200000,3309,3490,22457,112,61,10,3309,3309,754,1415043270,1000,3309,3309,27700
India,145555001,2,311,2229,2229,80,662290299470,7000,18,75000000000,13,371020500000,2229,522786598371,627793000000,14,0,2229,593729000,3287263,1859,0,33170000000,5049000,795000,56,4605000000,13104000000000,65554,115500001,6371847,2229,100,13888,74,18,6,2229,2229,293,1409128296,3975,2229,2229,14500
South Korea,60000012,0,89,1592,1592,111,26040900500,2413,5,46300000000,13,503519500000,1592,21353538410,420930000000,17,2,1592,29611000,99720,2149,14,55127000,2452000,38000,15,0,2615000000000,3979,310000060,100428,1592,3270,237,36,22,4,1592,1592,227,52081799,4400,1592,1592,1600
United Kingdom,18486003,2,1043,631,631,37,31491165460,12429,0,71500540000,6,9593749000000,631,25192932368,177915000000,8,0,631,35275000,243610,868,7,37758000000,1397000,753000,185,2500000000,3700000000000,16390,92400013,394428,631,71,443,28,9,9,631,631,109,68459055,126,631,631,3200
Japan,24715002,0,279,1443,1443,119,52976836430,29751,0,57000000000,42,4679698100000,1443,42874277348,1295000000000,6,4,1443,69349000,377915,5229,22,2220000000,3289000,8000,163,44115000,5761000000000,27311,5600000,1218772,1443,149,,141,24,10,1443,1443,159,123201945,480,1443,1443,1770
Turkiye,35520004,0,115,1083,1083,111,42985080511,7200,9,47000000000,0,294441000000,1083,36087279429,140858000000,17,1,1083,35071000,783562,1170,11,379701000,1077000,83000,54,366000000,2936000000000,11497,37870005,67333,1083,1038,2816,28,13,7,1083,1083,182,84119531,1707,1083,1083,1200
Pakistan,65400003,0,116,1399,1399,57,108516336430,1046,9,7640000000,0,92426000000,1399,85803614340,13730000000,9,0,1399,80990000,796095,60,3,36937000000,473000,101000,3,540000000,1347000000000,11881,55000002,264175,1399,662,7257,27,8,4,1399,1399,121,252363571,2629,1399,1399,0
Italy,16550003,2,636,729,729,37,27434219450,7600,0,30890000000,3,2750000000000,729,22191235364,247396000000,10,0,729,25669000,301340,1276,10,3117000000,1246000,116000,123,497934000,3097000000000,18475,1850000,487700,729,64,1836,23,8,8,729,729,196,60964931,108,729,729,2400
France,20000003,1,689,976,976,68,30084820440,4853,0,55000000000,11,6992104900000,976,23794358348,240792000000,11,3,976,31825000,643801,553,17,20132000,1554000,80000,66,61719000,3764000000000,27860,2600000,1053215,976,96,4072,44,9,16,976,976,129,68374591,0,976,976,8501
Egypt,44000004,0,73,1093,1093,100,45611372410,2450,7,5879500000,0,103750000000,1093,38269053344,33070000000,13,2,1093,33431000,1001450,441,17,64817000000,851000,667000,31,3300000000,1912000000000,5085,48000004,65050,1093,1056,2612,11,8,0,1093,1093,150,111247248,962,1093,1093,3500
Brazil,36000002,0,4919,513,513,0,112226271510,7491,2,26157300000,0,432224000000,513,88680759403,355021000000,6,1,513,108695000,8515770,888,3,22670000000,3027000,4221000,45,12715000000,4016000000000,29850,34000002,2000000,513,109,16145,25,4,0,513,513,64,220051512,412,513,513,50000
Indonesia,40000001,0,513,459,459,15,137965608490,54716,25,10600000000,0,440000000000,459,114595923407,146359000000,7,0,459,140931000,1904569,11422,12,57410000000,1728000,865000,123,2480000000,3906000000000,8159,40000001,496607,459,153,2958,17,4,1,459,459,331,281562465,396,459,459,21579
Germany,18160002,0,838,584,584,54,38694786460,2389,5,50000000000,0,6238609300000,584,30955829368,322700000000,11,0,584,44784000,357022,595,12,4824000000,2052000,131000,35,115200000,5230000000000,39379,3400000,830000,584,134,3694,26,6,3,584,584,61,84119100,0,584,584,7300
Australia,5735002,0,2180,327,327,22,11242811420,25760,0,55700000000,3,3427504300000,327,9208398344,61703000000,7,2,327,14501000,7741220,604,3,153783000000,1123000,386000,66,2446000000,1584000000000,36064,3205001,873573,327,0,,30,6,6,327,327,44,26768598,48,327,327,2000
Israel,17000018,0,37,611,611,48,3949099420,273,7,30500000000,0,148500000000,611,3281513349,204661000000,0,0,611,4554000,21937,41,0,22886000000,230000,15000,5,12730000,471030000000,1497,46500049,20391,611,352,1068,19,5,14,611,611,62,9402617,171,611,611,0
Ukraine,90000025,0,148,324,324,39,18187531510,2782,0,53700000000,0,132000000000,324,12731272357,40510000000,0,0,324,20312000,603550,410,3,18725000000,248000,3000,26,395000000,559981000000,21733,120000034,169694,324,658,5581,3,0,0,324,324,89,35661826,615,324,324,1672
Iran,61000007,0,173,551,551,13,49496685560,2440,3,15450000000,0,4134926000,551,41541860470,120600000000,7,0,551,29159000,1648195,965,1,263280000000,2136000,3985000,18,208600000000,1440000000000,8484,35000004,223485,551,392,5894,10,25,6,551,551,107,88386937,2070,551,551,850
Spain,13328203,1,363,461,461,17,21748999460,4964,0,23397000000,0,2572738300000,461,17635602373,103089000000,11,0,461,24108000,505370,503,6,41009000,1269000,47000,52,150000000,2242000000000,15489,1515000,683175,461,95,1953,8,2,0,461,461,152,47280433,287,461,461,1000
Poland,20210005,0,288,479,479,29,18985692490,440,2,48700000000,0,386947000000,479,15576017402,193783000000,2,0,479,18387000,312685,152,26,5551000000,722000,24000,10,113000000,1616000000000,19461,35000009,420000,479,677,2845,11,1,0,479,479,62,38746310,0,479,479,3997
Saudi Arabia,25700007,0,86,917,917,34,19003104520,2640,9,74760000000,0,225610000000,917,17468238478,457949000000,7,0,917,16934000,2149690,433,3,121870000000,3649000,11113000,16,258600000000,1831000000000,5410,000,221372,917,332,4272,16,0,22,917,917,32,36544431,467,917,917,0
Taiwan,21500009,0,53,761,761,91,12269542520,1566,7,19740000000,4,209000000000,761,106178745,492635000000,22,0,761,11498000,35980,465,14,63747000,1022000,800,8,2380000,1257300000000,1613,231000098,43206,761,488,,18,4,0,761,761,97,23595274,1360,761,761,0
